llave_facultad,nombre_facultad,llave_tipo_escuela
1,Facultad de Arquitectura,
2,Facultad de Arte y Diseño,
3,Facultad de Ciencias,
4,Facultad de Ciencias Políticas y Sociales,
5,Facultad de Contaduría y Administración,
6,Facultad de Derecho,
7,Facultad de Economía,
8,Facultad de Filosofía y Letras,
9,Facultad de Ingeniería,
10,Facultad de Medicina,
11,Facultad de Medicina Veterinaria y Zootecnia,
12,Facultad de Música,
13,Facultad de Odontología,
14,Facultad de Psicología,
15,Facultad de Química,
16,Facultad de Estudios Superiores Acatlán,
17,Facultad de Estudios Superiores Aragón,
18,Facultad de Estudios Superiores Cuatitlán,
19,Facultad de Estudios Superiores Iztacala,
20,Facultad de Estudios Superiores Zaragoza,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
